Strain,Amphid_defect_count,N
VC20138,45,45
VC20214,60,60
VC20267,60,60
VC20337,58.2,60
VC20448,60,60
VC20520,60,60
VC20628,57,60
VC20734,60,60
VC40367,44.1,45
VC40511,55,55
VC40653,51,51
VC10130,1.2,60
VC20007,7.2,60
VC20009,33,60
VC20055,1.8,60
VC20056,19.2,60
VC20073,7.2,60
VC20074,27,60
VC20091,13.2,60
VC20132,3,60
VC20269,7.8,60
VC20326,17.1,30
VC20406,0.9,30
VC20412,1.2,60
VC20436,7.8,60
VC20441,6,60
VC20443,0,60
VC20446,0,30
VC20450,28.2,60
VC20465,7.2,60
VC20494,3,60
VC20519,37.8,60
VC20536,0,30
VC20541,12.18,42
VC20605,22.2,60
VC20615,46.8,60
VC20618,1.8,60
VC20627,16.8,60
VC20630,42,60
VC20648,18,60
VC20768,22.23,57
VC40000,6,60
VC40196,9,60
VC40201,9,45
VC40257,7.5,30
VC40331,28.8,60
VC40589,7.8,60
VC40603,3.92,28
VC40611,9,60
VC40639,2.1,30
VC40697,31.8,60
VC40720,12,60
VC40749,0,30
VC40792,0,51
VC40819,34.8,60
VC40847,3,60
VC41030,0,30
VC10118,0,60
VC10129,0,30
VC20017,0,30
VC20024,1.2,60
VC20025,0,30
VC20029,7.8,60
VC20033,0,30
VC20040,0,30
VC20046,0,30
VC20047,0,30
VC20048,0,30
VC20059,0,30
VC20060,0,30
VC20068,0,30
VC20082,0,30
VC20097,0,30
VC20110,0.9,30
VC20111,0,30
VC20118,1.2,60
VC20122,0,30
VC20123,0,30
VC20124,0,30
VC20125,0,30
VC20126,0,30
VC20127,0,30
VC20128,0,30
VC20130,0,30
VC20131,0,30
VC20133,4.2,60
VC20134,0,30
VC20135,0,30
VC20136,0,30
VC20137,0,30
VC20139,0,30
VC20140,0,30
VC20141,0,30
VC20142,0,60
VC20143,0,30
VC20145,0.9,30
VC20146,0,30
VC20147,0.9,30
VC20148,0,60
VC20149,0,30
VC20150,0,30
VC20151,0,30
VC20152,0,30
VC20153,0,30
VC20154,0,30
VC20155,1.8,60
VC20156,0,60
VC20157,0,30
VC20158,0,30
VC20159,1.8,60
VC20160,0,30
VC20161,0,30
VC20162,0,30
VC20163,0,30
VC20164,0.9,30
VC20165,0,30
VC20169,0,30
VC20175,0,30
VC20197,0,30
VC20210,0,30
VC20213,0,30
VC20218,0,30
VC20222,0,40
VC20223,0,30
VC20228,0.9,30
VC20229,0,30
VC20230,0,60
VC20237,3.9,30
VC20238,0,30
VC20250,0,30
VC20256,0,30
VC20259,2.1,30
VC20312,0,30
VC20330,0,30
VC20345,0.9,30
VC20368,3,60
VC20380,0,30
VC20383,0.9,30
VC20397,0,20
VC20404,0,30
VC20405,0,30
VC20407,0.9,30
VC20408,0.9,30
VC20409,0,30
VC20410,0.9,30
VC20411,0.9,30
VC20413,0,30
VC20414,0,30
VC20415,0,30
VC20416,0,30
VC20417,0,30
VC20418,0,70
VC20419,0,30
VC20420,0,60
VC20421,0,30
VC20423,0,30
VC20424,0,30
VC20425,0,30
VC20426,0,30
VC20427,0,30
VC20428,0,30
VC20430,0,30
VC20432,1.92,48
VC20433,1.8,60
VC20434,0,30
VC20435,0,30
VC20437,0.9,30
VC20438,0,30
VC20439,4.2,60
VC20440,0,30
VC20442,0,30
VC20444,0,30
VC20445,0,30
VC20447,0,30
VC20449,0,30
VC20451,0,30
VC20452,0,30
VC20453,0.9,30
VC20454,0,30
VC20455,0,30
VC20456,0,30
VC20457,0,30
VC20459,7.2,60
VC20460,0,60
VC20462,0,30
VC20463,0.9,30
VC20464,0,30
VC20466,0,30
VC20467,0,30
VC20468,0.9,30
VC20469,0,30
VC20470,0,30
VC20471,0,30
VC20472,0,30
VC20473,0.9,30
VC20474,0,30
VC20475,0,30
VC20476,7.8,60
VC20477,0,30
VC20478,0.9,30
VC20479,2.1,30
VC20480,0,30
VC20483,0,30
VC20484,0,30
VC20485,0,30
VC20486,0,30
VC20488,0,30
VC20490,0,30
VC20491,0,30
VC20492,0,30
VC20493,0,30
VC20495,0,30
VC20496,0,30
VC20497,0,60
VC20498,1.8,60
VC20499,0.9,30
VC20500,0,30
VC20501,0,30
VC20502,0,30
VC20503,0,30
VC20504,0,30
VC20505,0,26
VC20506,2.1,30
VC20507,0,30
VC20509,1.2,60
VC20510,0,30
VC20511,0,30
VC20513,0.9,30
VC20514,0,30
VC20515,0,30
VC20516,0,30
VC20517,0,30
VC20518,4.2,60
VC20521,0,30
VC20522,0,30
VC20525,0,30
VC20526,0,30
VC20529,0,30
VC20531,0,60
VC20533,0,30
VC20535,0,30
VC20539,2.1,30
VC20542,4.05,45
VC20545,0.9,30
VC20547,0,30
VC20548,0,30
VC20556,0,30
VC20558,0,30
