Strain,Phasmid_defect_count,N
VC20138,45,45
VC20214,60,60
VC20267,60,60
VC20337,59,60
VC20448,60,60
VC20520,60,60
VC20628,60,60
VC20734,60,60
VC40367,45,45
VC40511,55,55
VC40653,51,51
VC10130,30,60
VC20007,27,60
VC20009,51,60
VC20055,21,60
VC20056,37,60
VC20073,38,60
VC20074,38,60
VC20091,29,60
VC20132,18,60
VC20269,38,60
VC20326,28,30
VC20406,8,30
VC20412,17,60
VC20436,20,60
VC20441,36,60
VC20443,25,60
VC20446,8,30
VC20450,7,60
VC20465,38,60
VC20494,44,60
VC20519,1,60
VC20536,8,30
VC20541,16,42
VC20605,1,60
VC20615,60,60
VC20618,45,60
VC20627,0,60
VC20630,1,60
VC20648,2,60
VC20768,45,57
VC40000,27,60
VC40196,26,60
VC40201,1,45
VC40257,1,30
VC40331,2,60
VC40589,38,60
VC40603,8,28
VC40611,30,60
VC40639,8,30
VC40697,42,60
VC40720,16,60
VC40749,10,30
VC40792,15,51
VC40819,52,60
VC40847,43,60
VC41030,8,30
VC10118,6,60
VC10129,7,30
VC20017,1,30
VC20024,5,60
VC20025,0,30
VC20029,4,60
VC20033,0,30
VC20040,0,30
VC20046,2,30
VC20047,0,30
VC20048,1,30
VC20059,1,30
VC20060,3,30
VC20068,1,30
VC20082,0,30
VC20097,5,30
VC20110,6,30
VC20111,1,30
VC20118,4,60
VC20122,5,30
VC20123,4,30
VC20124,3,30
VC20125,0,30
VC20126,3,30
VC20127,1,30
VC20128,4,30
VC20130,0,30
VC20131,3,30
VC20133,15,60
VC20134,0,30
VC20135,1,30
VC20136,0,30
VC20137,2,30
VC20139,4,30
VC20140,2,30
VC20141,5,30
VC20142,8,60
VC20143,2,30
VC20145,3,30
VC20146,0,30
VC20147,5,30
VC20148,4,60
VC20149,0,30
VC20150,2,30
VC20151,0,30
VC20152,2,30
VC20153,2,30
VC20154,2,30
VC20155,6,60
VC20156,0,60
VC20157,4,30
VC20158,2,30
VC20159,10,60
VC20160,1,30
VC20161,4,30
VC20162,2,30
VC20163,5,30
VC20164,1,30
VC20165,5,30
VC20169,4,30
VC20175,0,30
VC20197,0,30
VC20210,0,30
VC20213,4,30
VC20218,1,30
VC20222,0,40
VC20223,0,30
VC20228,0,30
VC20229,3,30
VC20230,7,60
VC20237,3,30
VC20238,6,30
VC20250,4,30
VC20256,1,30
VC20259,1,30
VC20312,1,30
VC20330,1,30
VC20345,4,30
VC20368,6,60
VC20380,0,30
VC20383,4,30
VC20397,1,20
VC20404,1,30
VC20405,0,30
VC20407,2,30
VC20408,3,30
VC20409,1,30
VC20410,3,30
VC20411,2,30
VC20413,1,30
VC20414,2,30
VC20415,3,30
VC20416,6,30
VC20417,3,30
VC20418,3,70
VC20419,3,30
VC20420,14,60
VC20421,2,30
VC20423,5,30
VC20424,0,30
VC20425,0,30
VC20426,3,30
VC20427,0,30
VC20428,0,30
VC20430,0,30
VC20432,7,48
VC20433,11,60
VC20434,4,30
VC20435,3,30
VC20437,0,30
VC20438,4,30
VC20439,14,60
VC20440,2,30
VC20442,4,30
VC20444,5,30
VC20445,1,30
VC20447,1,30
VC20449,0,30
VC20451,1,30
VC20452,2,30
VC20453,1,30
VC20454,4,30
VC20455,0,30
VC20456,0,30
VC20457,1,30
VC20459,6,60
VC20460,10,60
VC20462,0,30
VC20463,2,30
VC20464,4,30
VC20466,1,30
VC20467,5,30
VC20468,6,30
VC20469,2,30
VC20470,0,30
VC20471,0,30
VC20472,0,30
VC20473,3,30
VC20474,3,30
VC20475,3,30
VC20476,8,60
VC20477,0,30
VC20478,1,30
VC20479,2,30
VC20480,4,30
VC20483,3,30
VC20484,0,30
VC20485,0,30
VC20486,0,30
VC20488,4,30
VC20490,0,30
VC20491,1,30
VC20492,3,30
VC20493,0,30
VC20495,0,30
VC20496,0,30
VC20497,6,60
VC20498,10,60
VC20499,3,30
VC20500,1,30
VC20501,4,30
VC20502,0,30
VC20503,1,30
VC20504,0,30
VC20505,0,26
VC20506,1,30
VC20507,0,30
VC20509,1,60
VC20510,0,30
VC20511,2,30
VC20513,1,30
VC20514,1,30
VC20515,2,30
VC20516,0,30
VC20517,3,30
VC20518,7,60
VC20521,4,30
VC20522,0,30
VC20525,3,30
VC20526,3,30
VC20529,1,30
VC20531,8,60
VC20533,4,30
VC20535,1,30
VC20539,0,30
VC20542,11,45
VC20545,5,30
VC20547,0,30
VC20548,1,30
VC20556,1,30
VC20558,2,30
VC20559,0,30
VC20560,2,30
VC20563,0,30
VC20569,3,30
VC20571,4,30
VC20573,0,30
VC20574,2,30
VC20578,1,30
VC20583,0,30
VC20587,1,30
VC20594,0,30
VC20595,2,30
VC20598,6,30
VC20599,0,30
VC20600,1,30
